Years,United States,United Kingdom,India,Japan,Germany
2010,2481.715612,1315.401967,1.661274684,552.9007574,1049.317943
2011,2986.265501,1811.953149,2.259821972,679.6210681,1471.903146
2012,3841.697406,2500.541011,4.475525476,909.613019,2194.90449
2013,4303.12671,2832.494803,6.103171183,1054.737338,2601.183288
2014,5129.544994,3251.045342,8.369500262,1376.6696,3352.786096
2015,6358.874469,4386.265118,11.57562002,1504.274782,4297.925887
2016,11435.09744,8696.420463,37.89154566,2108.187227,11624.9602
2017,30338.03347,21195.88532,121.6892082,5971.46615,34181.27844
2018,65833.81033,27261.82097,185.5598149,11644.85731,56406.62071
2019,123980.0196,35988.46777,384.5003013,18646.99565,77970.03313
2020,140808.3195,36452.57226,474.2939742,22848.71813,97517.56929
